Country,Dystopia_residual
Finland,2.595
Norway,2.383
Denmark,2.370
Iceland,2.426
Switzerland,2.320
Netherlands,2.448
Canada,2.306
New Zealand,2.156
Sweden,2.217
Australia,2.139
Israel,2.817
Austria,2.319
Costa Rica,2.911
Ireland,1.844
Germany,2.151
Belgium,2.215
Luxembourg,1.769
United States,2.227
United Kingdom,1.912
United Arab Emirates,2.096
Czech Republic,2.494
Malta,1.784
France,2.028
Mexico,2.795
Chile,2.517
Taiwan Province of China,2.136
Panama,2.336
Brazil,2.592
Argentina,2.418
Guatemala,2.871
Uruguay,2.147
Qatar,1.593
Saudi Arabia,2.293
Singapore,1.005
Malaysia,2.507
Spain,1.892
Colombia,2.556
Trinidad & Tobago,2.148
Slovakia,2.165
El Salvador,2.884
Nicaragua,2.590
Poland,2.002
Bahrain,1.743
Uzbekistan,1.877
Kuwait,1.805
Thailand,1.902
Italy,1.843
Ecuador,2.228
Belize,2.710
Lithuania,2.130
Slovenia,1.522
Romania,2.269
Latvia,2.139
Japan,1.390
Mauritius,1.851
Jamaica,2.182
South Korea,1.980
Northern Cyprus,1.659
Russia,2.091
Kazakhstan,1.778
Cyprus,1.774
Bolivia,2.469
Estonia,1.457
Paraguay,1.932
Peru,2.151
Kosovo,2.255
Moldova,2.659
Turkmenistan,1.918
Hungary,1.974
Libya,1.918
Philippines,2.056
Honduras,2.328
Belarus,1.684
Turkey,1.729
Pakistan,2.923
"Hong Kong SAR, China",0.644
Portugal,1.276
Serbia,1.905
Greece,1.948
Tajikistan,2.248
Montenegro,1.870
Croatia,1.769
Dominican Republic,1.461
Algeria,2.209
Morocco,2.448
China,1.586
Azerbaijan,1.776
Lebanon,1.771
Macedonia,1.675
Jordan,1.697
Nigeria,2.552
Kyrgyzstan,1.736
Bosnia and Herzegovina,1.883
Mongolia,1.438
Vietnam,1.447
Indonesia,1.417
Bhutan,1.348
Somalia,2.961
Cameroon,2.688
Bulgaria,1.219
Nepal,1.782
Venezuela,1.442
Gabon,1.715
Palestinian Territories,1.853
South Africa,1.368
Iran,1.315
Ivory Coast,2.463
Ghana,2.093
Senegal,2.026
Laos,1.399
Tunisia,1.722
Albania,1.462
Sierra Leone,2.855
Congo (Brazzaville),2.041
Bangladesh,1.664
Sri Lanka,0.624
Iraq,1.393
Mali,2.130
Namibia,1.287
Cambodia,1.321
Burkina Faso,2.145
Egypt,1.444
Mozambique,2.249
Kenya,1.503
Zambia,1.667
Mauritania,1.905
Ethiopia,1.884
Georgia,1.624
Armenia,1.483
Myanmar,0.667
Chad,2.553
Congo (Kinshasa),2.274
India,1.432
Niger,2.283
Uganda,1.742
Benin,2.481
Sudan,1.750
Ukraine,0.927
Togo,2.319
Guinea,1.943
Lesotho,1.392
Angola,1.531
Madagascar,1.778
Zimbabwe,1.356
Afghanistan,2.196
Botswana,0.292
Malawi,1.732
Haiti,1.744
Liberia,1.640
Syria,1.244
Rwanda,0.500
Yemen,1.106
Tanzania,0.628
South Sudan,1.691
Central African Republic,2.487
Burundi,1.752
